,vaccine_time,vaccine_amount,A1-R1,A1-R2,A2-R1,A2-R2,A3-R1,A3-R2,A4-R1,A4-R2,A5-R1,A5-R2
420,6/8/21,0.0016705619,0,454,0,0,2196.866248,406.1337522,3559.807175,1565.192825,253.7556857,200.2443143
419,6/9/21,0.0020827861,0,711,0,0,2216.277667,409.7223332,4666.994031,2052.005969,397.4015254,313.5984746
418,6/10/21,0.0025598131,0,803,0,0,2544.583841,470.4161594,5981.865247,2630.134753,448.8233824,354.1766176
417,6/11/21,0.0016827488,0,635,0,0,1631.403172,301.5968279,3817.502484,1678.497516,354.9226001,280.0773999
416,6/12/21,0.0000189573,0,5,0,0,10.12769688,1.872303122,52.78933566,23.21066434,2.794666142,2.205333858
415,6/13/21,0.0024392990,0,758,0,0,2562.30731,473.6926898,5597.058773,2460.941227,423.6713872,334.3286128
414,6/14/21,0.0008501760,0,258,0,0,966.3510771,178.6489229,1899.026891,834.9731091,144.2047729,113.7952271
413,6/15/21,0.0000079311,0,2,0,0,1.68794948,0.31205052,24.31087827,10.68912173,1.117866457,0.882133543
412,6/16/21,0.0047108841,0,1564,0,0,4642.705044,858.2949561,10921.83571,4802.16429,874.1715693,689.8284307
411,6/17/21,0.0016848766,0,676,0,0,1600.176107,295.8238933,3793.886203,1668.113797,377.8388624,298.1611376
410,6/18/21,0.0020611206,0,687,0,0,1823.829413,337.1705872,4945.527236,2174.472764,383.9871279,303.0128721
409,6/19/21,0.0009410935,0,460,0,0,758.7332911,140.2667089,2115.741006,930.2589943,257.1092851,202.8907149
408,6/20/21,0.0016895192,0,515,0,0,1470.203997,271.7960032,4141.184464,1820.815536,287.8506127,227.1493873
407,6/21/21,0.0007381733,0,176,0,0,795.8681797,147.1318203,1751.077832,769.9221683,98.37224821,77.62775179
406,6/22/21,0.0010784371,0,476,0,0,921.6204159,170.3795841,2452.620319,1078.379681,266.0522167,209.9477833
405,6/23/21,0.0013713077,0,602,0,0,1072.691894,198.3081057,3204.868352,1409.131648,336.4778035,265.5221965
404,6/24/21,0.0015117464,0,720,0,0,1411.125765,260.874235,3266.687442,1436.312558,402.4319245,317.5680755
403,6/25/21,0.0019640129,0,702,0,0,2124.28442,392.7155798,4328.725524,1903.274476,392.3711264,309.6288736
402,6/26/21,0.0000309507,0,6,0,0,5.907823179,1.092176821,97.93810959,43.06189041,3.353599371,2.646400629
401,6/27/21,0.0043021419,0,1347,0,0,1808.637867,334.3621325,12088.06327,5314.936729,752.8830587,594.1169413
400,6/28/21,0.0050085907,0,1373,0,0,3003.706099,555.2939009,13605.06207,5981.937926,767.4153227,605.5846773
399,6/29/21,0.0011565875,0,415,0,0,1033.025082,190.9749184,2726.291348,1198.708652,231.9572898,183.0427102
398,6/30/21,0.0013887175,0,509,0,0,1156.245394,213.7546064,3327.811936,1463.188064,284.4970133,224.5029867
397,7/1/21,0.0013771110,0,602,0,0,1165.529116,215.4708843,3149.30063,1384.69937,336.4778035,265.5221965
396,7/2/21,0.0012424756,0,486,0,0,926.6842643,171.3157357,3023.57866,1329.42134,271.641549,214.358451
395,7/3/21,0.0002050481,0,101,0,0,68.36195393,12.63804607,539.7014975,237.2985025,56.45225607,44.54774393
394,7/4/21,0.0022089100,0,862,0,0,1801.88607,333.1139304,5251.149706,2308.850294,481.8004429,380.1995571
393,7/5/21,0.0000139278,0,4,0,0,5.063848439,0.936151561,40.28659827,17.71340173,2.235732914,1.764267086
392,7/6/21,0.0006108887,0,245,0,0,449.8385363,83.16146366,1482.963574,652.0364257,136.938641,108.061359
391,7/7/21,0.0005778102,0,305,0,0,370.5049108,68.49508921,1346.128059,591.8719406,170.4746347,134.5253653
390,7/8/21,0.0011012632,0,509,0,0,832.1590935,153.8409065,2562.366569,1126.633431,284.4970133,224.5029867
389,7/9/21,0.0000201179,0,9,0,0,15.19154532,2.808454683,47.23256349,20.76743651,5.030399056,3.969600944
388,7/10/21,0.0011857972,0,555,0,0,918.2445169,169.7554831,2731.153524,1200.846476,310.2079418,244.7920582
387,7/11/21,0.0011033911,0,526,0,0,840.5988409,155.4011591,2539.444884,1116.555116,293.9988782,232.0011218
386,7/12/21,0.0016666931,0,544,0,0,1496.367214,276.6327863,3997.402984,1757.597016,304.0596763,239.9403237
385,7/13/21,0.0013784651,0,546,0,0,1102.23101,203.7689898,3284.052356,1443.947644,305.1775427,240.8224573
384,7/14/21,0.0012333838,0,586,0,0,1049.060602,193.9393984,2751.296823,1209.703177,327.5348719,258.4651281
383,7/15/21,0.0010836600,0,483,0,0,980.6986477,181.3013523,2413.028317,1060.971683,269.9647493,213.0352507
382,7/16/21,0.0010625749,0,465,0,0,883.6415526,163.3584474,2442.201371,1073.798629,259.9039512,205.0960488
381,7/17/21,0.0010766961,0,450,0,0,962.9751782,178.0248218,2448.45274,1076.54726,251.5199528,198.4800472
380,7/18/21,0.0000133475,0,10,0,0,7.595772659,1.404227341,27.78386088,12.21613912,5.589332285,4.410667715
379,7/19/21,0.0015107791,0,499,0,0,1380.742674,255.2573256,3595.231597,1580.768403,278.907681,220.092319
378,7/20/21,0.0009370313,0,372,0,0,822.0313966,151.9686034,2171.308727,954.6912725,207.923161,164.076839
377,7/21/21,0.0013436456,0,545,0,0,1179.032712,217.9672884,3097.205891,1361.794109,304.6186095,240.3813905
376,7/22/21,0.0012958655,0,508,0,0,1175.656813,217.3431874,2979.819079,1310.180921,283.9380801,224.0619199
375,7/23/21,0.0009503787,0,501,0,0,772.236887,142.763113,2081.01118,914.9888204,280.0255475,220.9744525
374,7/24/21,0.0000377211,0,6,0,0,16.03552006,2.964479943,113.9138296,50.08617041,3.353599371,2.646400629
373,7/25/21,0.0011057124,0,545,0,0,929.2161886,171.7838114,2448.45274,1076.54726,304.6186095,240.3813905
372,7/26/21,0.0012393805,0,431,0,0,1062.564197,196.4358025,2977.040693,1308.959307,240.9002215,190.0997785
371,7/27/21,0.0008211597,0,379,0,0,728.3502005,134.6497995,1822.621273,801.3787265,211.8356936,167.1643064
370,7/28/21,0.0014985923,0,626,0,0,1295.501226,239.4987743,3445.198749,1514.801251,349.892201,276.107799
369,7/29/21,0.0028178643,0,969,0,0,2520.108573,465.8914268,6697.994261,2945.005739,541.6062984,427.3937016
368,7/30/21,0.0014279861,0,664,0,0,1210.259777,223.7402231,3209.035931,1410.964069,371.1316637,292.8683363
367,7/31/21,0.0000266949,0,5,0,0,16.8794948,3.120505203,75.01642437,32.98357563,2.794666142,2.205333858
366,8/1/21,0.0031447806,0,1356,0,0,2649.236708,489.7632916,7227.971407,3178.028593,757.9134578,598.0865422
365,8/2/21,0.0007596453,0,234,0,0,589.9383432,109.0616568,1917.0864,842.9135996,130.7903755,103.2096245
364,8/3/21,0.0012550493,0,422,0,0,927.5282391,171.4717609,3156.941192,1388.058808,235.8698224,186.1301776
